CH0, CH1, ANN
-0.385,-0.34, 0
-0.4,-0.33, 0
-0.385,-0.31, 0
-0.385,-0.31, 0
-0.39,-0.31, 0
-0.395,-0.34, 0
-0.405,-0.345, 0
-0.41,-0.335, 0
-0.415,-0.325, 0
-0.4,-0.325, 0
-0.39,-0.315, 0
-0.395,-0.33, 0
-0.4,-0.33, 0
-0.415,-0.3, 0
-0.4,-0.305, 0
-0.38,-0.305, 0
-0.37,-0.315, 0
-0.375,-0.32, 0
-0.385,-0.335, 0
-0.4,-0.325, 0
-0.375,-0.335, 0
-0.37,-0.325, 0
-0.37,-0.32, 0
-0.395,-0.325, 0
-0.425,-0.33, 0
-0.43,-0.33, 0
-0.395,-0.31, 0
-0.38,-0.32, 0
-0.38,-0.33, 0
-0.395,-0.345, 0
-0.405,-0.34, 0
-0.41,-0.33, 0
-0.42,-0.31, 0
-0.4,-0.31, 0
-0.4,-0.315, 0
-0.415,-0.335, 0
-0.42,-0.355, 0
-0.44,-0.345, 0
-0.43,-0.33, 0
-0.425,-0.3, 0
-0.4,-0.315, 0
-0.405,-0.325, 0
-0.405,-0.34, 0
-0.415,-0.335, 0
-0.395,-0.335, 0
-0.385,-0.36, 0
-0.4,-0.35, 0
-0.41,-0.37, 0
-0.42,-0.365, 0
-0.42,-0.37, 0
-0.4,-0.35, 0
-0.38,-0.345, 0
-0.385,-0.37, 0
-0.385,-0.385, 0
-0.42,-0.405, 0
-0.425,-0.39, 0
-0.415,-0.375, 0
-0.405,-0.38, 0
-0.405,-0.385, 0
-0.425,-0.405, 0
-0.43,-0.42, 0
-0.43,-0.415, 0
-0.43,-0.415, 0
-0.425,-0.415, 0
-0.435,-0.43, 0
-0.445,-0.45, 0
-0.46,-0.455, 0
-0.47,-0.465, 0
-0.47,-0.455, 0
-0.465,-0.455, 0
-0.455,-0.46, 0
-0.475,-0.465, 0
-0.475,-0.475, 0
-0.475,-0.465, 0
-0.445,-0.455, 0
-0.435,-0.46, 0
-0.435,-0.465, 0
-0.45,-0.455, 0
-0.46,-0.445, 0
-0.44,-0.425, 0
-0.42,-0.38, 0
-0.395,-0.375, 0
-0.385,-0.375, 0
-0.365,-0.375, 0
-0.36,-0.36, 0
-0.355,-0.345, 0
-0.335,-0.335, 0
-0.32,-0.325, 0
-0.32,-0.315, 0
-0.33,-0.3, 0
-0.33,-0.315, 0
-0.33,-0.3, 0
-0.315,-0.28, 0
-0.31,-0.28, 0
-0.31,-0.295, 0
-0.305,-0.29, 0
-0.29,-0.285, 0
-0.3,-0.285, 0
-0.29,-0.265, 0
-0.275,-0.28, 0
-0.255,-0.27, 0
-0.26,-0.285, 0
-0.265,-0.285, 0
-0.26,-0.28, 0
-0.255,-0.26, 0
-0.26,-0.265, 0
-0.26,-0.265, 0
-0.27,-0.27, 0
-0.27,-0.275, 0
-0.27,-0.27, 0
-0.255,-0.255, 0
-0.245,-0.26, 0
-0.24,-0.27, 0
-0.255,-0.27, 0
-0.27,-0.28, 0
-0.275,-0.275, 0
-0.26,-0.265, 0
-0.245,-0.265, 0
-0.26,-0.26, 0
-0.26,-0.27, 0
-0.27,-0.29, 0
-0.275,-0.275, 0
-0.275,-0.275, 0
-0.265,-0.27, 0
-0.265,-0.28, 0
-0.28,-0.27, 0
-0.28,-0.28, 0
-0.28,-0.265, 0
-0.27,-0.27, 0
-0.25,-0.275, 0
-0.25,-0.27, 0
-0.255,-0.29, 0
-0.27,-0.285, 0
-0.28,-0.285, 0
-0.285,-0.275, 0
-0.27,-0.27, 0
-0.27,-0.28, 0
-0.285,-0.29, 0
-0.275,-0.295, 0
-0.285,-0.285, 0
-0.28,-0.29, 0
-0.265,-0.28, 0
-0.27,-0.27, 0
-0.29,-0.285, 0
-0.29,-0.295, 0
-0.3,-0.285, 0
-0.295,-0.275, 0
-0.285,-0.275, 0
-0.28,-0.265, 0
-0.28,-0.27, 0
-0.295,-0.285, 0
-0.295,-0.28, 0
-0.295,-0.275, 0
